date,sec_code,company_name,price,market_cap,ncav,ncav_ratio,cash_and_equivalents,net_cash,net_cash_ratio,operating_income,operating_cf,equity_ratio,rank
2026-08-17,5660,神鋼鋼線工業株式会社,1861.0,10997894009.0,24342000000,2.213332841731336,,,,,,91.99,47
2026-08-17,2982,株式会社ＡＤワークスグループ,428.0,21130353152.0,46091617000,2.1812989432047143,,,,,,34.910000000000004,48
2026-08-17,5609,日本鋳造株式会社,920.0,4435447880.0,9461000000,2.133042762752518,,,,,,3883.3333,49
2026-08-17,2778,パレモ・ホールディングス株式会社,111.0,1315581435.0,2790223000,2.120904814987755,,,,,,47.19,50
2026-08-17,8999,グランディハウス株式会社,570.0,16527643050.0,34678101000,2.098187920388322,,,,,,65.3,51
2026-08-17,7938,株式会社リーガルコーポレーション,2194.0,6537966420.0,13685000000,2.093158502334431,,,,,,86.26,52
2026-08-17,7514,株式会社　ヒマラヤ,883.0,10809014037.0,22621000000,2.092790325053401,,,,,,71.14,53
2026-08-17,2750,石光商事株式会社,1344.0,10447346112.0,21636109000,2.070966996599107,,,,,,35.370000000000005,54
2026-08-17,3880,大王製紙株式会社,953.0,146974922119.0,303787000000,2.0669308452093293,,,,,,56.44,55
2026-08-17,8917,ファースト住建株式会社,1148.0,15972793284.0,32999908000,2.0660073296670105,,,,,,61.4424,56
2026-08-17,6694,株式会社ズーム,738.0,3190393926.0,6541554000,2.0503906889647205,,,,,,50.63,57
2026-08-17,5915,株式会社駒井ハルテック,2443.0,11193972580.0,22881000000,2.044046457723233,,,,,,77.66999999999999,58
2026-08-17,2286,林兼産業株式会社,887.0,7243455767.0,14802000000,2.043499743235196,,,,,,70.55,59
2026-08-17,3242,株式会社アーバネットコーポレーション,522.0,19306405422.0,39077284000,2.024057982097005,,,,,,32.28,60
2026-08-17,4316,株式会社ビーマップ,82.0,291990930.0,587360000,2.011569331965209,,,,,,164.8106,61
2026-08-17,7670,オーウエル株式会社,1237.0,12444618314.0,24952000000,2.00504341478512,,,,,,72.05,62
2026-08-17,5852,株式会社アーレスティ,678.0,16909528146.0,33863000000,2.0025987542420216,,,,,,950.8889,63
2026-08-17,6400,不二精機株式会社,292.0,2363640720.0,4654461000,1.9691914090902956,,,,,,71.6,64
2026-08-17,4234,株式会社サンエー化研,980.0,9439268860.0,18575140000,1.9678579215721164,,,,,,99.15,65
2026-08-17,1911,住友林業株式会社,1329.0,814918638780.0,1594777000000,1.9569769595496207,,,,,,67.12,66
2026-08-17,6317,株式会社北川鉄工所,1884.0,17429865564.0,34029000000,1.952338638244244,,,,,,97.0805,67
2026-08-17,2055,日和産業株式会社,354.0,6411574722.0,12312000000,1.9202770822827508,,,,,,77.9,68
2026-08-17,8892,株式会社エスコン,1108.0,106245159364.0,202476000000,1.905743294207969,,,,,,82.6626,69
2026-08-17,4242,株式会社タカギセイコー,1797.0,5029790421.0,9520000000,1.8927229970164996,,,,,,71.91,70
2026-08-17,4409,東邦化学工業株式会社,775.0,16296688375.0,30668000000,1.8818547237515055,,,,,,53.86,71
2026-08-17,3760,株式会社ケイブ,745.0,4489297735.0,8404842000,1.8721952733215188,,,,,,73.91,72
2026-08-17,8877,エスリード株式会社,5340.0,82392600840.0,154124928000,1.87061612849555,,,,,,31.04,73
2026-08-17,3678,株式会社メディアドゥ,1295.0,19656838670.0,36496000000,1.856656638063561,,,,,,50.54,74
2026-08-17,3236,株式会社プロパスト,290.0,9597612350.0,17653000000,1.8393116283759887,,,,,,41.38,75
2026-08-17,7297,株式会社カーメイト,862.0,6080546276.0,11090406000,1.823916058952464,,,,,,82.96,76
2026-08-17,3190,株式会社ホットマン,584.0,4120412000.0,7490744000,1.8179599515776577,,,,,,94.91,77
2026-08-17,1301,株式会社　極洋,4715.0,56001389345.0,101555000000,1.8134371519671448,,,,,,44.25,78
2026-08-17,3246,株式会社コーセーアールイー,684.0,6947191692.0,12578787000,1.810629036547967,,,,,,65.52,79
2026-08-17,4539,日本ケミファ株式会社,1575.0,5708990700.0,10184000000,1.7838529672153784,,,,,,47.98,80
2026-08-17,8091,ニチモウ株式会社,2411.0,20256134639.0,36118000000,1.783064767473478,,,,,,46.44,81
2026-08-17,5753,日本伸銅株式会社,2445.0,5224969890.0,9266000000,1.7734073487646451,,,,,,89.13,82
2026-08-17,7822,永大産業株式会社,259.0,11446603938.0,20284000000,1.7720539742501222,,,,,,97.16,83
2026-08-17,7427,エコートレーディング株式会社,835.0,5070972535.0,8912307000,1.757514350252737,,,,,,36.35,84
2026-08-17,3439,株式会社三ツ知,674.0,3151888208.0,5513486000,1.7492644523387233,,,,,,93.18,85
2026-08-17,8046,丸藤シートパイル株式会社,1006.0,17345703500.0,30130000000,1.7370295762290644,,,,,,32.221,86
2026-08-17,3758,株式会社アエリア,239.0,4842798206.0,8359000000,1.726068203635574,,,,,,53.83,87
2026-08-17,2484,株式会社出前館,148.0,16483205184.0,28404000000,1.723208543661844,,,,,,74.47,88
2026-08-17,3071,株式会社ストリーム,104.0,2874196000.0,4911543000,1.7088406636151463,,,,,,58.4,89
2026-08-17,6907,ジオマテック株式会社,795.0,6288669420.0,10732203000,1.706593602434901,,,,,,84.74000000000001,90
2026-08-17,241A,株式会社ＲＯＸＸ,424.0,3088064080.0,5267919000,1.7058969190820676,,,,,,37.04,91
2026-08-17,2917,株式会社大森屋,936.0,4647269952.0,7898097000,1.6995132801788226,,,,,,65.03,92
2026-08-17,7980,株式会社　重松製作所,868.0,6172663952.0,10413766000,1.6870780721224656,,,,,,82.09,93
2026-08-17,3674,株式会社オークファン,332.0,3493199088.0,5838824000,1.67148331741463,,,,,,69.11,94
2026-08-17,3299,株式会社ムゲンエステート,1742.0,40927852758.0,68398000000,1.671184667429945,,,,,,36.4,95
2026-08-17,3375,株式会社ＺＯＡ,1715.0,2158212595.0,3597064000,1.6666865944223628,,,,,,75.46000000000001,96
2026-08-17,9162,株式会社ブリーチ,231.0,5944045800.0,9902997000,1.666036456179392,,,,,,76.18,97
2026-08-17,5136,ｔｒｉｐｌａ株式会社,1896.0,11257482936.0,18729170000,1.6637084956270725,,,,,,332.8245,98
2026-08-17,7896,セブン工業株式会社,510.0,2276351850.0,3766000000,1.6544015372667455,,,,,,789.125,99
2026-08-17,331A,株式会社メディックス,494.0,3617463200.0,5966011000,1.649225070209422,,,,,,53.56,100
2026-08-17,3252,地主株式会社,2969.0,61397560198.0,100510000000,1.6370357336002754,,,,,,47.57,101
2026-08-17,9908,日本電計株式会社,2721.0,30891779658.0,49922638000,1.6160492711228958,,,,,,47.52,102
2026-08-17,8158,ソーダニッカ株式会社,1331.0,30378291460.0,48871000000,1.608747485497988,,,,,,70.1,103
2026-08-17,2927,株式会社ＡＦＣ－ＨＤアムスライフサイエンス,891.0,12972608055.0,20812766000,1.6043625084300752,,,,,,1162.3765,104
2026-08-17,8887,株式会社シーラホールディングス,388.0,14591226552.0,23294000000,1.596438785799479,,,,,,75.0565,105
2026-08-17,8085,ナラサキ産業株式会社,4260.0,21317478780.0,33599000000,1.576124472633344,,,,,,297.1364,106
2026-08-17,4569,杏林製薬株式会社,1117.0,64167511515.0,100994000000,1.5739117446745825,,,,,,93.54,107
2026-08-17,9647,株式会社協和コンサルタンツ,6280.0,3672192320.0,5735809000,1.5619576809092612,,,,,,67.43,108
2026-08-17,7464,セフテック株式会社,1549.0,2720248468.0,4237972000,1.557935626048113,,,,,,93.39,109
2026-08-17,5956,トーソー株式会社,575.0,5081404950.0,7794870000,1.5339989779795054,,,,,,93.26,110
2026-08-17,3904,株式会社カヤック,423.0,6517809882.0,9872294000,1.5146643088292522,,,,,,63.01,111
2026-08-17,7538,株式会社大水,395.0,4813962565.0,7284000000,1.5130985963535426,,,,,,64.14,112
2026-08-17,7048,ベルトラ株式会社,148.0,5417285884.0,8189738000,1.5117788086813844,,,,,,35.620000000000005,113
2026-08-17,7122,近畿車輛株式会社,2362.0,16250751322.0,24174000000,1.4875619915045797,,,,,,89.25,114
