sec_code,company_name,ticker,price,market_cap,ncav,nc_ratio,equity_ratio,cash_and_equivalents,net_cash,net_cash_ratio,current_assets,total_liabilities,total_assets,accounting_standard,consolidated,fiscal_period,submit_date,調整後終値,前日比%,5日騰落%,20日騰落%,60日安値乖離%,120日安値乖離%,52週安値乖離%,52週高値乖離%,停滞日数,20日平均売買代金(百万円)
2654,株式会社アスモ,2654.T,424.0,5708939944.0,5867909000,1.0278456346641156,70.28,5174180000.0,2218801000.0,0.38865376440540816,8823288000,2955379000,9945503000,J-GAAP,連結,2026-03-31,2026-06-25,418.0,0.5,2.0,4.5,7.7,7.7,19.1,0.0,8,2.1
7908,株式会社きもと,7908.T,247.0,10785478782.0,11060000000,1.0254528541151229,81.66,11140000000.0,6877000000.0,0.6376165712251085,15323000000,4263000000,23245000000,J-GAAP,連結,2026-03-31,2026-05-22,247.0,1.6,3.8,2.9,11.3,11.3,11.3,-16.4,2,23.7
6158,株式会社和井田製作所,6158.T,998.0,6509306298.0,6667793000,1.0243477099931055,84.93,4880238000.0,2991529000.0,0.45957723650508725,8556502000,1888709000,12535598000,J-GAAP,連結,2026-03-31,2026-06-23,998.0,1.4,2.9,0.4,6.7,10.8,20.7,-11.6,5,4.8
8013,株式会社ナイガイ,8013.T,352.0,2750519552.0,2813000000,1.0227158712449684,55.59,2980000000.0,-2506000000.0,-0.9111005948595416,8299000000,5486000000,12355000000,J-GAAP,連結,2026-01-31,2026-04-22,352.0,0.0,1.1,-3.6,6.7,22.6,34.9,-15.4,8,3.0
5928,アルメタックス株式会社,5928.T,284.0,2975908200.0,3041687000,1.022103773227951,82.38,1733984000.0,-274297000.0,-0.09217253408556084,5049968000,2008281000,11395938000,J-GAAP,個別,2026-03-31,2026-06-22,284.0,0.0,0.7,-0.7,6.4,6.4,13.8,-11.9,16,4.4
6654,不二電機工業株式会社,6654.T,1096.0,5689412720.0,5782952000,1.0164409376860957,92.55,3791085000.0,2951197000.0,0.5187173343262044,6622840000,839888000,11281107000,J-GAAP,個別,2026-01-31,2026-04-21,1096.0,-0.4,-1.2,-0.3,4.9,6.1,7.5,-2.2,25,32.2
5658,日亜鋼業株式会社,5658.T,399.0,17919033741.0,18172361000,1.0141373280870816,78.26,9156974000.0,-6733528000.0,-0.3757751727758187,34062863000,15890502000,73097290000,J-GAAP,連結,2026-03-31,2026-06-25,389.0,1.3,1.8,8.1,13.4,13.4,17.0,-4.7,8,17.9
8135,ゼット株式会社,8135.T,440.0,8612888680.0,8730000000,1.0135972174204393,45.47,9099000000.0,-9290000000.0,-1.078616053818543,27119000000,18389000000,33720000000,J-GAAP,連結,2026-03-31,2026-06-26,442.0,-1.8,4.0,1.8,8.3,8.9,8.9,-25.1,5,7.0
5971,株式会社共和工業所,5971.T,8170.0,10623614400.0,10742227000,1.0111649948439394,86.42,5829068000.0,3123620000.0,0.2940261084777324,13447675000,2705448000,19928733000,J-GAAP,連結,2026-04-30,2026-07-22,8150.0,-0.1,1.4,-0.6,19.0,19.0,40.5,-1.7,2,5.2
5819,カナレ電気株式会社,5819.T,1762.0,12054365314.0,12154933000,1.0083428437234434,92.16,8745136000.0,7077584000.0,0.587138668493816,13822485000,1667552000,21279023000,J-GAAP,個別,2026-12-31,2026-08-12,1774.0,0.9,2.1,0.9,5.9,5.9,11.8,-15.4,2,11.7
4627,ナトコ株式会社,4627.T,1820.0,13755874860.0,13857940000,1.0074197490918437,78.7,11131439000.0,4254077000.0,0.3092552849815617,20735302000,6877362000,32290506000,J-GAAP,個別,2026-10-31,2026-06-18,1820.0,1.4,4.4,3.9,10.9,14.2,29.0,-1.9,2,5.8
7879,株式会社ノダ,7879.T,665.0,9738734810.0,9759952000,1.0021786392600212,54.94,17852582000.0,-14226863000.0,-1.4608533118071423,41839397000,32079445000,71200034000,J-GAAP,個別,2026-11-30,2026-07-15,655.0,0.9,1.2,1.2,3.3,3.3,3.3,-7.1,19,6.2
3189,株式会社ＡＮＡＰホールディングス,3189.T,111.0,4998733596.0,5005899000,1.0014334438638086,34.42,669710000.0,-9871472000.0,-1.9747945775504376,15547081000,10541182000,16074849000,J-GAAP,個別,2026-08-31,2026-04-14,111.0,0.9,7.8,7.8,15.6,15.6,15.6,-84.9,2,8.9
3765,ガンホー・オンライン・エンターテイメント株式会社,3765.T,2436.0,127565729424.0,127710000000,1.0011309508960708,88.22,124705000000.0,105253000000.0,0.8250883718946374,147162000000,19452000000,165141000000,J-GAAP,個別,2026-12-31,2026-08-14,2421.0,-1.1,1.3,3.0,12.4,12.4,12.4,-13.8,6,622.1
6718,アイホン株式会社,6718.T,2830.0,46318137390.0,46366000000,1.0010333448773425,87.59,23598000000.0,13675000000.0,0.2952407149893814,56289000000,9923000000,79957000000,J-GAAP,連結,2026-03-31,2026-06-25,2839.0,-0.7,0.4,2.2,7.6,7.6,7.6,-6.2,7,82.7
