sec_code,filer_name,current_assets,total_liabilities,total_assets,equity_value,equity_type,equity_ratio,doc_id,submit_date,doc_type,accounting_standard,consolidated,fiscal_period
4186,東京応化工業株式会社,172773000000,59373000000,172773000000,242299000000,NetAssets,1.4024,S100YUE3,2026-08-07,160,J-GAAP,個別,2026-12-31
7081,コーユーレンティア株式会社,10455042000,195122000,5637000,12627428000,NetAssets,2240.0972,S100YV5T,2026-08-07,160,J-GAAP,個別,2026-12-31
9339,株式会社コーチ・エィ,3647854000,1249912000,3647854000,3178677000,NetAssets,0.8714,S100YUY1,2026-08-07,160,J-GAAP,個別,2026-12-31
4935,株式会社リベルタ,6132813000,5179704000,6132813000,1592866000,NetAssets,0.2597,S100YVCA,2026-08-07,160,J-GAAP,個別,2026-12-31
6143,株式会社ソディック,108208000000,5821000000,19519000000,90592000000,NetAssets,4.6412,S100YUQI,2026-08-07,160,J-GAAP,個別,2026-12-31
5946,株式会社長府製作所,30998000000,8893000000,9439000000,137732000000,NetAssets,14.5918,S100YU8C,2026-08-07,160,J-GAAP,個別,2026-12-31
6425,株式会社ユニバーサルエンターテインメント,93415000000,41639000000,93415000000,129687000000,NetAssets,1.3883,S100YV8X,2026-08-07,160,J-GAAP,個別,2026-12-31
6493,株式会社ＮＩＴＴＡＮ,12673902000,7136640000,12673902000,22230435000,NetAssets,1.754,S100YIJ0,2026-06-23,130,J-GAAP,連結,
5950,日本パワーファスニング株式会社,4221248000,2863028000,4221248000,2317080000,NetAssets,0.5489,S100YUR9,2026-08-07,160,J-GAAP,個別,2026-12-31
431A,ユーソナー株式会社,5382630000,2642639000,5382630000,4278386000,NetAssets,0.7949,S100YVGH,2026-08-07,160,J-GAAP,連結,2026-12-31
9827,リリカラ株式会社,16955414000,10489156000,5204959000,8122418000,NetAssets,1.5605,S100YUJV,2026-08-07,160,J-GAAP,連結,2026-12-31
4812,株式会社電通総研,136923000000,19939000000,37791000000,100159000000,NetAssets,2.6503,S100YUSR,2026-08-07,160,J-GAAP,個別,2026-12-31
334A,株式会社ビジュアル・プロセッシング・ジャパン,1442409000,422745000,1442409000,1285542000,NetAssets,0.8912,S100YVGL,2026-08-07,160,J-GAAP,連結,2026-12-31
6444,サンデン株式会社,103859000000,142312000000,56870000000,28126000000,NetAssets,0.4946,S100YUVR,2026-08-07,160,J-GAAP,個別,2026-12-31
2931,株式会社ユーグレナ,33437000000,1367000000,33437000000,28526000000,NetAssets,0.8531,S100YVGZ,2026-08-07,160,J-GAAP,個別,2026-12-31
5597,ブルーイノベーション株式会社,1388806000,264490000,260552000,205261000,NetAssets,0.7878,S100YVGJ,2026-08-07,160,J-GAAP,連結,2026-12-31
8029,株式会社ルックホールディングス,30740000000,8185000000,30740000000,40456000000,NetAssets,1.3161,S100YUUZ,2026-08-07,160,J-GAAP,個別,2026-12-31
3276,株式会社ＪＰＭＣ,10505759000,5346103000,10505759000,9255286000,NetAssets,0.881,S100YV7V,2026-08-07,160,J-GAAP,個別,2026-12-31
4351,株式会社山田再生系債権回収総合事務所,5152394000,1369879000,5152394000,3369760000,NetAssets,0.654,S100YUNG,2026-08-07,160,J-GAAP,個別,2026-12-31
8060,キヤノンマーケティングジャパン株式会社,339646000000,125081000000,126624000000,413814000000,NetAssets,3.2681,S100YTW1,2026-08-07,160,J-GAAP,個別,2026-12-31
